Time,Cell,Users,Traffic_GB,Throughput_Mbps,CPU_Usage,Load_Ratio,Energy_W,Active,Efficiency_Throughput_Mbps_per_W,Efficiency_Data_Transfer_GB_per_W,Efficiency_Users_per_W
2026-01-01 00:30,Cell C,2,0.5,2.0,6.8,0.02,82.4,True,0.02427,0.00607,0.02427
2026-01-01 00:30,Cell D,10,2.14,8.6,12.7,0.086,90.3,True,0.09524,0.0237,0.11074
2026-01-01 00:30,Cell E,6,1.35,5.4,9.8,0.054,86.5,True,0.06243,0.01561,0.06936
2026-01-01 00:30,Cell F,13,2.91,11.6,15.5,0.116,94.0,True,0.1234,0.03096,0.1383
2026-01-01 00:35,Cell A,22,4.7,18.8,21.9,0.188,102.6,True,0.18324,0.04581,0.21442
2026-01-01 00:35,Cell B,14,3.05,12.2,16.0,0.122,94.6,True,0.12896,0.03224,0.14799
2026-01-01 00:35,Cell C,7,1.6,6.4,10.8,0.064,87.7,True,0.07298,0.01824,0.07982
2026-01-01 00:35,Cell D,19,4.07,16.3,19.6,0.163,99.5,True,0.16382,0.0409,0.19095
2026-01-01 00:35,Cell E,6,1.38,5.5,10.0,0.055,86.6,True,0.06351,0.01594,0.06928
2026-01-01 00:35,Cell F,2,0.5,2.0,6.8,0.02,82.4,True,0.02427,0.00607,0.02427
2026-01-01 00:40,Cell A,19,4.14,16.6,19.9,0.166,99.9,True,0.16617,0.04144,0.19019
2026-01-01 00:40,Cell B,6,1.38,5.5,10.0,0.055,86.6,True,0.06351,0.01594,0.06928
2026-01-01 00:40,Cell C,18,3.89,15.6,19.0,0.156,98.7,True,0.15805,0.03941,0.18237
2026-01-01 00:40,Cell D,22,4.67,18.7,21.8,0.187,102.4,True,0.18262,0.04561,0.21484
2026-01-01 00:40,Cell E,20,4.35,17.4,20.7,0.174,100.9,True,0.17245,0.04311,0.19822
2026-01-01 00:40,Cell F,20,4.24,17.0,20.3,0.17,100.4,True,0.16932,0.04223,0.1992
2026-01-01 00:45,Cell A,21,4.53,18.1,21.3,0.181,101.8,True,0.1778,0.0445,0.20629
2026-01-01 00:45,Cell B,16,3.4,13.6,17.2,0.136,96.3,True,0.14123,0.03531,0.16615
2026-01-01 00:45,Cell C,7,1.64,6.5,10.9,0.065,87.9,True,0.07395,0.01866,0.07964
2026-01-01 00:45,Cell D,12,2.69,10.7,14.7,0.107,92.9,True,0.11518,0.02896,0.12917
2026-01-01 00:45,Cell E,5,1.22,4.9,9.4,0.049,85.9,True,0.05704,0.0142,0.05821
2026-01-01 00:45,Cell F,17,3.61,14.4,18.0,0.144,97.3,True,0.148,0.0371,0.17472
2026-01-01 00:50,Cell A,21,4.52,18.1,21.3,0.181,101.7,True,0.17797,0.04444,0.20649
2026-01-01 00:50,Cell B,26,5.61,22.5,25.2,0.225,106.9,True,0.21048,0.05248,0.24322
2026-01-01 00:50,Cell C,11,2.37,9.5,13.5,0.095,91.4,True,0.10394,0.02593,0.12035
2026-01-01 00:50,Cell D,8,1.83,7.3,11.6,0.073,88.8,True,0.08221,0.02061,0.09009
2026-01-01 00:50,Cell E,15,3.16,12.6,16.4,0.126,95.1,True,0.13249,0.03323,0.15773
2026-01-01 00:50,Cell F,13,2.82,11.3,15.1,0.113,93.5,True,0.12086,0.03016,0.13904
2026-01-01 00:55,Cell A,26,5.46,21.8,24.7,0.218,106.2,True,0.20527,0.05141,0.24482
2026-01-01 00:55,Cell B,21,4.52,18.1,21.3,0.181,101.7,True,0.17797,0.04444,0.20649
2026-01-01 00:55,Cell C,15,3.13,12.5,16.3,0.125,95.0,True,0.13158,0.03295,0.15789
2026-01-01 00:55,Cell D,14,3.1,12.4,16.2,0.124,94.9,True,0.13066,0.03267,0.14752
2026-01-01 00:55,Cell E,18,3.83,15.3,18.8,0.153,98.4,True,0.15549,0.03892,0.18293
2026-01-01 00:55,Cell F,7,1.6,6.4,10.8,0.064,87.7,True,0.07298,0.01824,0.07982
2026-01-01 01:00,Cell A,18,3.83,15.3,18.8,0.153,98.4,True,0.15549,0.03892,0.18293
2026-01-01 01:00,Cell B,7,1.57,6.3,10.7,0.063,87.5,True,0.072,0.01794,0.08
2026-01-01 01:00,Cell C,14,2.99,12.0,15.8,0.12,94.3,True,0.12725,0.03171,0.14846
2026-01-01 01:00,Cell D,27,5.68,22.7,25.5,0.227,107.3,True,0.21156,0.05294,0.25163
2026-01-01 01:00,Cell E,8,1.84,7.3,11.6,0.073,88.8,True,0.08221,0.02072,0.09009
2026-01-01 01:00,Cell F,10,2.13,8.5,12.7,0.085,90.2,True,0.09424,0.02361,0.11086
2026-01-01 01:05,Cell A,21,4.54,18.2,21.3,0.182,101.8,True,0.17878,0.0446,0.20629
2026-01-01 01:05,Cell B,14,2.97,11.9,15.7,0.119,94.3,True,0.12619,0.0315,0.14846
2026-01-01 01:05,Cell C,9,2.04,8.2,12.3,0.082,89.8,True,0.09131,0.02272,0.10022
2026-01-01 01:05,Cell D,25,5.24,21.0,23.9,0.21,105.2,True,0.19962,0.04981,0.23764
2026-01-01 01:05,Cell E,6,1.42,5.7,10.1,0.057,86.8,True,0.06567,0.01636,0.06912
2026-01-01 01:05,Cell F,19,4.11,16.5,19.8,0.165,99.7,True,0.1655,0.04122,0.19057
2026-01-01 01:10,Cell A,15,3.16,12.7,16.4,0.127,95.2,True,0.1334,0.03319,0.15756
2026-01-01 01:10,Cell B,22,4.75,19.0,22.1,0.19,102.8,True,0.18482,0.04621,0.21401
2026-01-01 01:10,Cell C,9,2.04,8.2,12.3,0.082,89.8,True,0.09131,0.02272,0.10022
2026-01-01 01:10,Cell D,14,2.96,11.9,15.7,0.119,94.2,True,0.12633,0.03142,0.14862
2026-01-01 01:10,Cell E,10,2.23,8.9,13.0,0.089,90.7,True,0.09813,0.02459,0.11025
2026-01-01 01:10,Cell F,7,1.61,6.4,10.8,0.064,87.7,True,0.07298,0.01836,0.07982
2026-01-01 01:15,Cell A,19,3.97,15.9,19.3,0.159,99.1,True,0.16044,0.04006,0.19173
2026-01-01 01:15,Cell B,13,2.78,11.1,15.0,0.111,93.3,True,0.11897,0.0298,0.13934
2026-01-01 01:15,Cell C,2,0.5,2.0,6.8,0.02,82.4,True,0.02427,0.00607,0.02427
2026-01-01 01:15,Cell D,18,3.83,15.3,18.8,0.153,98.4,True,0.15549,0.03892,0.18293
2026-01-01 01:15,Cell E,5,1.06,4.2,8.8,0.042,85.1,True,0.04935,0.01246,0.05875
2026-01-01 01:15,Cell F,12,2.56,10.3,14.2,0.103,92.3,True,0.11159,0.02774,0.13001
2026-01-01 01:20,Cell A,16,3.49,14.0,17.6,0.14,96.7,True,0.14478,0.03609,0.16546
2026-01-01 01:20,Cell B,15,3.16,12.7,16.4,0.127,95.2,True,0.1334,0.03319,0.15756
2026-01-01 01:20,Cell C,15,3.18,12.7,16.4,0.127,95.3,True,0.13326,0.03337,0.1574
2026-01-01 01:20,Cell D,23,4.96,19.8,22.9,0.198,103.8,True,0.19075,0.04778,0.22158
2026-01-01 01:20,Cell E,15,3.24,13.0,16.7,0.13,95.6,True,0.13598,0.03389,0.1569
2026-01-01 01:20,Cell F,4,1.0,4.0,8.6,0.04,84.8,True,0.04717,0.01179,0.04717
2026-01-01 01:25,Cell A,11,2.43,9.7,13.7,0.097,91.6,True,0.1059,0.02653,0.12009
2026-01-01 01:25,Cell B,8,1.78,7.1,11.4,0.071,88.5,True,0.08023,0.02011,0.0904
2026-01-01 01:25,Cell C,2,0.5,2.0,6.8,0.02,82.4,True,0.02427,0.00607,0.02427
2026-01-01 01:25,Cell D,16,3.49,14.0,17.6,0.14,96.8,True,0.14463,0.03605,0.16529
2026-01-01 01:25,Cell E,8,1.68,6.7,11.0,0.067,88.1,True,0.07605,0.01907,0.09081
2026-01-01 01:25,Cell F,21,4.55,18.2,21.4,0.182,101.8,True,0.17878,0.0447,0.20629
2026-01-01 01:30,Cell A,26,5.48,21.9,24.7,0.219,106.3,True,0.20602,0.05155,0.24459
2026-01-01 01:30,Cell B,14,3.01,12.0,15.8,0.12,94.5,True,0.12698,0.03185,0.14815
2026-01-01 01:30,Cell C,13,2.84,11.3,15.2,0.113,93.6,True,0.12073,0.03034,0.13889
2026-01-01 01:30,Cell D,18,3.81,15.2,18.7,0.152,98.3,True,0.15463,0.03876,0.18311
2026-01-01 01:30,Cell E,5,1.08,4.3,8.9,0.043,85.2,True,0.05047,0.01268,0.05869
2026-01-01 01:30,Cell F,12,2.58,10.3,14.3,0.103,92.4,True,0.11147,0.02792,0.12987
2026-01-01 01:35,Cell A,12,2.55,10.2,14.2,0.102,92.3,True,0.11051,0.02763,0.13001
2026-01-01 01:35,Cell B,2,0.5,2.0,6.8,0.02,82.4,True,0.02427,0.00607,0.02427
2026-01-01 01:35,Cell C,7,1.54,6.1,10.5,0.061,87.4,True,0.06979,0.01762,0.08009
2026-01-01 01:35,Cell D,12,2.52,10.1,14.1,0.101,92.1,True,0.10966,0.02736,0.13029
2026-01-01 01:35,Cell E,18,3.94,15.8,19.2,0.158,98.9,True,0.15976,0.03984,0.182
2026-01-01 01:35,Cell F,15,3.18,12.7,16.5,0.127,95.3,True,0.13326,0.03337,0.1574
2026-01-01 01:40,Cell A,13,2.79,11.2,15.1,0.112,93.4,True,0.11991,0.02987,0.13919
2026-01-01 01:40,Cell B,18,3.78,15.1,18.6,0.151,98.1,True,0.15392,0.03853,0.18349
2026-01-01 01:40,Cell C,2,0.5,2.0,6.8,0.02,82.4,True,0.02427,0.00607,0.02427
2026-01-01 01:40,Cell D,10,2.24,9.0,13.1,0.09,90.7,True,0.09923,0.0247,0.11025
2026-01-01 01:40,Cell E,2,0.5,2.0,6.8,0.02,82.4,True,0.02427,0.00607,0.02427
2026-01-01 01:40,Cell F,14,3.04,12.2,16.0,0.122,94.6,True,0.12896,0.03214,0.14799
2026-01-01 01:45,Cell A,25,5.41,21.6,24.5,0.216,106.0,True,0.20377,0.05104,0.23585
2026-01-01 01:45,Cell B,22,4.66,18.7,21.8,0.187,102.4,True,0.18262,0.04551,0.21484
2026-01-01 01:45,Cell C,11,2.5,10.0,14.0,0.1,92.0,True,0.1087,0.02717,0.11957
2026-01-01 01:45,Cell D,16,3.53,14.1,17.7,0.141,96.9,True,0.14551,0.03643,0.16512
2026-01-01 01:45,Cell E,2,0.51,2.0,6.8,0.02,82.4,True,0.02427,0.00619,0.02427
2026-01-01 01:45,Cell F,19,4.02,16.1,19.5,0.161,99.3,True,0.16213,0.04048,0.19134
2026-01-01 01:50,Cell A,28,5.86,23.4,26.1,0.234,108.1,True,0.21647,0.05421,0.25902
2026-01-01 01:50,Cell B,15,3.25,13.0,16.7,0.13,95.6,True,0.13598,0.034,0.1569
2026-01-01 01:50,Cell C,7,1.51,6.0,10.4,0.06,87.2,True,0.06881,0.01732,0.08028
2026-01-01 01:50,Cell D,16,3.36,13.4,17.1,0.134,96.1,True,0.13944,0.03496,0.16649
2026-01-01 01:50,Cell E,15,3.14,12.5,16.3,0.125,95.0,True,0.13158,0.03305,0.15789
2026-01-01 01:50,Cell F,15,3.25,13.0,16.7,0.13,95.6,True,0.13598,0.034,0.1569
2026-01-01 01:55,Cell A,21,4.46,17.9,21.1,0.179,101.4,True,0.17653,0.04398,0.2071
2026-01-01 01:55,Cell B,19,4.02,16.1,19.5,0.161,99.3,True,0.16213,0.04048,0.19134
2026-01-01 01:55,Cell C,23,4.8,19.2,22.3,0.192,103.0,True,0.18641,0.0466,0.2233
2026-01-01 01:55,Cell D,14,3.1,12.4,16.2,0.124,94.9,True,0.13066,0.03267,0.14752
2026-01-01 01:55,Cell E,4,1.01,4.0,8.6,0.04,84.8,True,0.04717,0.01191,0.04717
2026-01-01 01:55,Cell F,15,3.27,13.1,16.8,0.131,95.7,True,0.13689,0.03417,0.15674
2026-01-01 02:00,Cell A,18,3.87,15.5,18.9,0.155,98.6,True,0.1572,0.03925,0.18256
2026-01-01 02:00,Cell B,12,2.69,10.7,14.7,0.107,92.9,True,0.11518,0.02896,0.12917
2026-01-01 02:00,Cell C,7,1.47,5.9,10.3,0.059,87.1,True,0.06774,0.01688,0.08037
2026-01-01 02:00,Cell D,16,3.45,13.8,17.4,0.138,96.6,True,0.14286,0.03571,0.16563
2026-01-01 02:00,Cell E,11,2.49,10.0,14.0,0.1,92.0,True,0.1087,0.02707,0.11957
2026-01-01 02:00,Cell F,13,2.81,11.2,15.1,0.112,93.5,True,0.11979,0.03005,0.13904
2026-01-01 02:05,Cell A,30,6.31,25.3,27.7,0.253,110.3,True,0.22937,0.05721,0.27199
2026-01-01 02:05,Cell B,14,3.01,12.1,15.9,0.121,94.5,True,0.12804,0.03185,0.14815
2026-01-01 02:05,Cell C,13,2.76,11.0,14.9,0.11,93.2,True,0.11803,0.02961,0.13948
2026-01-01 02:05,Cell D,18,3.8,15.2,18.7,0.152,98.2,True,0.15479,0.0387,0.1833
2026-01-01 02:05,Cell E,14,2.97,11.9,15.7,0.119,94.2,True,0.12633,0.03153,0.14862
2026-01-01 02:05,Cell F,14,3.11,12.5,16.2,0.125,94.9,True,0.13172,0.03277,0.14752
2026-01-01 02:10,Cell A,15,3.31,13.3,16.9,0.133,95.9,True,0.13869,0.03452,0.15641
2026-01-01 02:10,Cell B,29,6.09,24.4,26.9,0.244,109.2,True,0.22344,0.05577,0.26557
2026-01-01 02:10,Cell C,2,0.5,2.0,6.8,0.02,82.4,True,0.02427,0.00607,0.02427
2026-01-01 02:10,Cell D,13,2.84,11.4,15.2,0.114,93.6,True,0.12179,0.03034,0.13889
2026-01-01 02:10,Cell E,5,1.06,4.2,8.8,0.042,85.1,True,0.04935,0.01246,0.05875
2026-01-01 02:10,Cell F,13,2.73,10.9,14.8,0.109,93.1,True,0.11708,0.02932,0.13963
2026-01-01 02:15,Cell A,11,2.48,9.9,13.9,0.099,91.9,True,0.10773,0.02699,0.1197
2026-01-01 02:15,Cell B,8,1.86,7.4,11.7,0.074,88.9,True,0.08324,0.02092,0.08999
2026-01-01 02:15,Cell C,7,1.64,6.6,10.9,0.066,87.9,True,0.07509,0.01866,0.07964
2026-01-01 02:15,Cell D,20,4.32,17.3,20.6,0.173,100.7,True,0.1718,0.0429,0.19861
2026-01-01 02:15,Cell E,2,0.5,2.0,6.8,0.02,82.4,True,0.02427,0.00607,0.02427
2026-01-01 02:15,Cell F,15,3.2,12.8,16.5,0.128,95.4,True,0.13417,0.03354,0.15723
2026-01-01 02:20,Cell A,25,5.35,21.4,24.3,0.214,105.7,True,0.20246,0.05061,0.23652
2026-01-01 02:20,Cell B,9,2.02,8.1,12.3,0.081,89.7,True,0.0903,0.02252,0.10033
2026-01-01 02:20,Cell C,2,0.5,2.0,6.8,0.02,82.4,True,0.02427,0.00607,0.02427
2026-01-01 02:20,Cell D,17,3.57,14.3,17.8,0.143,97.1,True,0.14727,0.03677,0.17508
2026-01-01 02:20,Cell E,20,4.2,16.8,20.1,0.168,100.2,True,0.16766,0.04192,0.1996
2026-01-01 02:20,Cell F,21,4.5,18.0,21.2,0.18,101.6,True,0.17717,0.04429,0.20669
2026-01-01 02:25,Cell A,13,2.85,11.4,15.2,0.114,93.7,True,0.12166,0.03042,0.13874
2026-01-01 02:25,Cell B,24,5.12,20.5,23.4,0.205,104.6,True,0.19598,0.04895,0.22945
2026-01-01 02:25,Cell C,9,1.99,8.0,12.2,0.08,89.6,True,0.08929,0.02221,0.10045
2026-01-01 02:25,Cell D,24,5.11,20.4,23.4,0.204,104.5,True,0.19522,0.0489,0.22967
2026-01-01 02:25,Cell E,2,0.5,2.0,6.8,0.02,82.4,True,0.02427,0.00607,0.02427
2026-01-01 02:25,Cell F,20,4.27,17.1,20.4,0.171,100.5,True,0.17015,0.04249,0.199
2026-01-01 02:30,Cell A,9,2.02,8.1,12.3,0.081,89.7,True,0.0903,0.02252,0.10033
2026-01-01 02:30,Cell B,10,2.14,8.6,12.7,0.086,90.3,True,0.09524,0.0237,0.11074
2026-01-01 02:30,Cell C,19,4.01,16.1,19.4,0.161,99.3,True,0.16213,0.04038,0.19134
2026-01-01 02:30,Cell D,9,2.02,8.1,12.3,0.081,89.7,True,0.0903,0.02252,0.10033
2026-01-01 02:30,Cell E,2,0.54,2.2,6.9,0.022,82.6,True,0.02663,0.00654,0.02421
2026-01-01 02:30,Cell F,20,4.17,16.7,20.0,0.167,100.0,True,0.167,0.0417,0.2
2026-01-01 02:35,Cell A,25,5.24,21.0,23.9,0.21,105.1,True,0.19981,0.04986,0.23787
2026-01-01 02:35,Cell B,17,3.64,14.6,18.1,0.146,97.5,True,0.14974,0.03733,0.17436
2026-01-01 02:35,Cell C,7,1.63,6.5,10.9,0.065,87.8,True,0.07403,0.01856,0.07973
2026-01-01 02:35,Cell D,10,2.21,8.8,13.0,0.088,90.6,True,0.09713,0.02439,0.11038
2026-01-01 02:35,Cell E,10,2.23,8.9,13.0,0.089,90.7,True,0.09813,0.02459,0.11025
2026-01-01 02:35,Cell F,22,4.67,18.7,21.8,0.187,102.4,True,0.18262,0.04561,0.21484
2026-01-01 02:40,Cell A,22,4.61,18.4,21.6,0.184,102.1,True,0.18022,0.04515,0.21548
2026-01-01 02:40,Cell B,21,4.53,18.1,21.3,0.181,101.8,True,0.1778,0.0445,0.20629
2026-01-01 02:40,Cell C,13,2.81,11.2,15.1,0.112,93.5,True,0.11979,0.03005,0.13904
2026-01-01 02:40,Cell D,10,2.22,8.9,13.0,0.089,90.6,True,0.09823,0.0245,0.11038
2026-01-01 02:40,Cell E,3,0.79,3.2,7.9,0.032,83.8,True,0.03819,0.00943,0.0358
2026-01-01 02:40,Cell F,26,5.55,22.2,25.0,0.222,106.7,True,0.20806,0.05201,0.24367
2026-01-01 02:45,Cell A,24,5.13,20.5,23.5,0.205,104.6,True,0.19598,0.04904,0.22945
2026-01-01 02:45,Cell B,16,3.44,13.7,17.4,0.137,96.5,True,0.14197,0.03565,0.1658
2026-01-01 02:45,Cell C,12,2.67,10.7,14.6,0.107,92.8,True,0.1153,0.02877,0.12931
2026-01-01 02:45,Cell D,7,1.61,6.4,10.8,0.064,87.7,True,0.07298,0.01836,0.07982
2026-01-01 02:45,Cell E,10,2.12,8.5,12.6,0.085,90.2,True,0.09424,0.0235,0.11086
2026-01-01 02:45,Cell F,20,4.36,17.4,20.7,0.174,100.9,True,0.17245,0.04321,0.19822
2026-01-01 02:50,Cell A,8,1.78,7.1,11.4,0.071,88.5,True,0.08023,0.02011,0.0904
2026-01-01 02:50,Cell B,10,2.16,8.6,12.8,0.086,90.4,True,0.09513,0.02389,0.11062
2026-01-01 02:50,Cell C,13,2.72,10.9,14.8,0.109,93.1,True,0.11708,0.02922,0.13963
2026-01-01 02:50,Cell D,3,0.78,3.1,7.8,0.031,83.7,True,0.03704,0.00932,0.03584
2026-01-01 02:50,Cell E,2,0.5,2.0,6.8,0.02,82.4,True,0.02427,0.00607,0.02427
2026-01-01 02:50,Cell F,23,4.84,19.4,22.4,0.194,103.2,True,0.18798,0.0469,0.22287
2026-01-01 02:55,Cell A,21,4.51,18.1,21.2,0.181,101.7,True,0.17797,0.04435,0.20649
2026-01-01 02:55,Cell B,22,4.59,18.3,21.5,0.183,102.0,True,0.17941,0.045,0.21569
2026-01-01 02:55,Cell C,11,2.49,10.0,14.0,0.1,92.0,True,0.1087,0.02707,0.11957
2026-01-01 02:55,Cell D,21,4.38,17.5,20.8,0.175,101.0,True,0.17327,0.04337,0.20792
2026-01-01 02:55,Cell E,15,3.32,13.3,16.9,0.133,95.9,True,0.13869,0.03462,0.15641
2026-01-01 02:55,Cell F,25,5.21,20.8,23.8,0.208,105.0,True,0.1981,0.04962,0.2381
2026-01-01 03:00,Cell A,20,4.25,17.0,20.3,0.17,100.4,True,0.16932,0.04233,0.1992
2026-01-01 03:00,Cell B,15,3.33,13.3,17.0,0.133,96.0,True,0.13854,0.03469,0.15625
2026-01-01 03:00,Cell C,12,2.67,10.7,14.6,0.107,92.8,True,0.1153,0.02877,0.12931
2026-01-01 03:00,Cell D,18,3.76,15.1,18.6,0.151,98.1,True,0.15392,0.03833,0.18349
2026-01-01 03:00,Cell E,6,1.44,5.7,10.2,0.057,86.9,True,0.06559,0.01657,0.06904
2026-01-01 03:00,Cell F,11,2.29,9.2,13.3,0.092,91.0,True,0.1011,0.02516,0.12088
2026-01-01 03:05,Cell A,17,3.61,14.4,18.0,0.144,97.3,True,0.148,0.0371,0.17472
2026-01-01 03:05,Cell B,9,1.93,7.7,11.9,0.077,89.2,True,0.08632,0.02164,0.1009
2026-01-01 03:05,Cell C,16,3.48,13.9,17.5,0.139,96.7,True,0.14374,0.03599,0.16546
2026-01-01 03:05,Cell D,16,3.37,13.5,17.1,0.135,96.2,True,0.14033,0.03503,0.16632
2026-01-01 03:05,Cell E,19,4.05,16.2,19.6,0.162,99.4,True,0.16298,0.04074,0.19115
2026-01-01 03:05,Cell F,3,0.81,3.2,7.9,0.032,83.9,True,0.03814,0.00965,0.03576
2026-01-01 03:10,Cell A,11,2.42,9.7,13.7,0.097,91.6,True,0.1059,0.02642,0.12009
2026-01-01 03:10,Cell B,25,5.23,20.9,23.8,0.209,105.1,True,0.19886,0.04976,0.23787
2026-01-01 03:10,Cell C,12,2.53,10.1,14.1,0.101,92.1,True,0.10966,0.02747,0.13029
2026-01-01 03:10,Cell D,14,2.97,11.9,15.7,0.119,94.2,True,0.12633,0.03153,0.14862
2026-01-01 03:10,Cell E,14,3.02,12.1,15.9,0.121,94.5,True,0.12804,0.03196,0.14815
2026-01-01 03:10,Cell F,7,1.62,6.5,10.8,0.065,87.8,True,0.07403,0.01845,0.07973
2026-01-01 03:15,Cell A,21,4.51,18.1,21.2,0.181,101.7,True,0.17797,0.04435,0.20649
2026-01-01 03:15,Cell B,21,4.38,17.5,20.8,0.175,101.0,True,0.17327,0.04337,0.20792
2026-01-01 03:15,Cell C,19,4.15,16.6,20.0,0.166,99.9,True,0.16617,0.04154,0.19019
2026-01-01 03:15,Cell D,13,2.76,11.0,14.9,0.11,93.2,True,0.11803,0.02961,0.13948
2026-01-01 03:15,Cell E,14,3.05,12.2,16.0,0.122,94.6,True,0.12896,0.03224,0.14799
2026-01-01 03:15,Cell F,18,3.83,15.3,18.8,0.153,98.4,True,0.15549,0.03892,0.18293
2026-01-01 03:20,Cell A,25,5.26,21.0,23.9,0.21,105.2,True,0.19962,0.05,0.23764
2026-01-01 03:20,Cell B,18,3.85,15.4,18.8,0.154,98.5,True,0.15635,0.03909,0.18274
2026-01-01 03:20,Cell C,14,2.96,11.9,15.7,0.119,94.2,True,0.12633,0.03142,0.14862
2026-01-01 03:20,Cell D,11,2.33,9.3,13.4,0.093,91.2,True,0.10197,0.02555,0.12061
2026-01-01 03:20,Cell E,4,0.89,3.5,8.2,0.035,84.3,True,0.04152,0.01056,0.04745
2026-01-01 03:20,Cell F,11,2.31,9.2,13.3,0.092,91.1,True,0.10099,0.02536,0.12075
2026-01-01 03:25,Cell A,17,3.55,14.2,17.8,0.142,97.1,True,0.14624,0.03656,0.17508
2026-01-01 03:25,Cell B,8,1.85,7.4,11.7,0.074,88.9,True,0.08324,0.02081,0.08999
2026-01-01 03:25,Cell C,6,1.45,5.8,10.2,0.058,87.0,True,0.06667,0.01667,0.06897
2026-01-01 03:25,Cell D,18,3.87,15.5,18.9,0.155,98.6,True,0.1572,0.03925,0.18256
